Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
SURFACE SCIENCE REPORTS	0167-5729	1879-274X	"PHYSICS	 CONDENSED MATTER - SCIE; CHEMISTRY	 PHYSICAL - SCIE"	"4627"	12.267	"Q1; Q1"	0.62	14.29%	
PROGRESS IN QUANTUM ELECTRONICS	0079-6727	1873-1627	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE; QUANTUM SCIENCE & TECHNOLOGY - SCIE; OPTICS - SCIE; PHYSICS	 APPLIED - SCIE"	"1434"	12.250	"Q1; Q1; Q1; Q1"	0.84	14.29%	
npj Computational Materials	N/A	2057-3960	"CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"4355"	12.241	"Q1; Q1"	1.51	100.00%	
Advances in Carbohydrate Chemistry and Biochemistry	0065-2318	2162-5530	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CHEMISTRY	 ORGANIC - SCIE"	"752"	12.200	"Q1; Q1"	n/a	0.00%	
EMBO Molecular Medicine	1757-4676	1757-4684	"MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"11474"	12.137	"Q1"	2.89	88.37%	
CANCER TREATMENT REVIEWS	0305-7372	1532-1967	"ONCOLOGY - SCIE"	"11834"	12.111	"Q1"	1.42	20.81%	
OPHTHALMOLOGY	0161-6420	1549-4713	"OPHTHALMOLOGY - SCIE"	"50321"	12.079	"Q1"	4.01	17.23%	
JOURNAL OF BUSINESS VENTURING	0883-9026	1873-2003	"BUSINESS - SSCI"	"18553"	12.065	"Q1"	2.61	11.84%	
JACC-Heart Failure	2213-1779	2213-1787	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6212"	12.035	"Q1"	2.40	12.00%	
IEEE TRANSACTIONS ON FUZZY SYSTEMS	1063-6706	1941-0034	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE; COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE"	"20515"	12.029	"Q1; Q1"	2.96	0.00%	
TRENDS IN ENDOCRINOLOGY AND METABOLISM	1043-2760	1879-3061	"ENDOCRINOLOGY & METABOLISM - SCIE"	"11973"	12.015	"Q1"	1.49	9.27%	
IEEE WIRELESS COMMUNICATIONS	1536-1284	1558-0687	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE; COMPUTER SCIENCE	 HARDWARE & ARCHITECTURE - SCIE; COMPUTER SCIENCE	 INFORMATION SYSTEMS - SCIE; TELECOMMUNICATIONS - SCIE"	"9116"	11.979	"Q1; Q1; Q1; Q1"	3.55	0.00%	
TRENDS IN MOLECULAR MEDICINE	1471-4914	1471-499X	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE; MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"13213"	11.951	"Q1; Q1; Q1"	1.38	10.41%	
Journal of the National Comprehensive Cancer Network	1540-1405	1540-1413	"ONCOLOGY - SCIE"	"10050"	11.908	"Q1"	1.95	0.44%	
Annual Review of Nutrition	0199-9885	1545-4312	"NUTRITION & DIETETICS - SCIE"	"6896"	11.848	"Q1"	n/a	0.00%	
Analytic Methods in Accident Research	2213-6657	2213-6665	"TRANSPORTATION - SSCI; PUBLIC	 ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI"	"1445"	11.806	"Q1; Q1"	3.98	1.59%	
Redox Biology	2213-2317	2213-2317	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE"	"15982"	11.799	"Q1"	2.12	100.00%	
JOURNAL OF MANAGEMENT	0149-2063	1557-1211	"PSYCHOLOGY	 APPLIED - SSCI; BUSINESS - SSCI; MANAGEMENT - SSCI"	"34496"	11.790	"Q1; Q1; Q1"	3.36	9.63%	
Science Bulletin	2095-9273	2095-9281	"MULTIDISCIPLINARY SCIENCES - SCIE"	"8832"	11.780	"Q1"	1.50	4.91%	
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING	1093-9687	1467-8667	"ENGINEERING	 CIVIL - SCIE; TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE; CONSTRUCTION & BUILDING TECHNOLOGY - SCIE; COMPUTER SCIENCE	 INTERDISCIPLINARY APPLICATIONS - SCIE"	"5653"	11.775	"Q1; Q1; Q1; Q1"	2.83	5.56%	
Dialogues in Human Geography	2043-8206	2043-8214	"GEOGRAPHY - SSCI"	"1152"	11.769	"Q1"	2.91	30.77%	
Journal of Service Management	1757-5818	1757-5826	"MANAGEMENT - SSCI"	"3407"	11.768	"Q1"	2.31	2.03%	
ECONOMIC GEOGRAPHY	0013-0095	1944-8287	"GEOGRAPHY - SSCI; ECONOMICS - SSCI"	"4873"	11.767	"Q1; Q1"	2.57	12.90%	
Liver Cancer	2235-1795	1664-5553	"GASTROENTEROLOGY & HEPATOLOGY - SCIE; ONCOLOGY - SCIE"	"1579"	11.740	"Q1; Q1"	1.57	100.00%	
PROGRESS IN NEUROBIOLOGY	0301-0082	1873-5118	"NEUROSCIENCES - SCIE"	"15161"	11.685	"Q1"	1.68	21.24%	
npj Digital Medicine	2398-6352	2398-6352	"HEALTH CARE SCIENCES & SERVICES - SCIE; MEDICAL INFORMATICS - SCIE"	"2406"	11.653	"Q1; Q1"	3.24	100.00%	
TRENDS IN GENETICS	0168-9525	1362-4555	"GENETICS & HEREDITY - SCIE"	"14465"	11.639	"Q1"	1.40	15.28%	
BRIEFINGS IN BIOINFORMATICS	1467-5463	1477-4054	"MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE; BIOCHEMICAL RESEARCH METHODS - SCIE"	"10353"	11.622	"Q1; Q1"	3.22	23.23%	
SLEEP MEDICINE REVIEWS	1087-0792	1532-2955	"NEUROSCIENCES - SCIE; CLINICAL NEUROLOGY - SCIE"	"11218"	11.609	"Q1; Q1"	1.73	9.17%	
EMBO JOURNAL	0261-4189	1460-2075	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE"	"76189"	11.598	"Q1; Q1"	2.12	45.57%	
MATRIX BIOLOGY	0945-053X	1569-1802	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE"	"8972"	11.583	"Q1; Q1"	1.72	14.55%	
Theranostics	1838-7640	1838-7640	"MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"23558"	11.556	"Q1"	2.76	100.00%	
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	1089-778X	1941-0026	"COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE; COMPUTER SCIENCE	 THEORY & METHODS - SCIE"	"16918"	11.554	"Q1; Q1"	3.09	0.00%	
Cellular & Molecular Immunology	1672-7681	2042-0226	"IMMUNOLOGY - SCIE"	"8489"	11.530	"Q1"	1.50	25.15%	
LEUKEMIA	0887-6924	1476-5551	"HEMATOLOGY - SCIE; ONCOLOGY - SCIE"	"34181"	11.528	"Q1; Q1"	2.22	33.86%	
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY	0190-9622	1097-6787	"DERMATOLOGY - SCIE"	"40257"	11.527	"Q1"	2.96	8.24%	
Clinical and Translational Medicine	2001-1326	2001-1326	"MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE; ONCOLOGY - SCIE"	"2201"	11.492	"Q1; Q1"	1.54	100.00%	
MOLECULAR THERAPY	1525-0016	1525-0024	"GENETICS & HEREDITY - SCIE; BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"24333"	11.454	"Q1; Q1; Q1"	2.73	87.43%	
IEEE Transactions on Cybernetics	2168-2267	2168-2275	"COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE; COMPUTER SCIENCE	 CYBERNETICS - SCIE; AUTOMATION & CONTROL SYSTEMS - SCIE"	"24753"	11.448	"Q1; Q1; Q1"	2.63	0.00%	
Molecular Systems Biology	1744-4292	1744-4292	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE"	"10149"	11.429	"Q1"	2.09	100.00%	
Exposure and Health	2451-9766	2451-9685	"WATER RESOURCES - SCIE"	"1322"	11.422	"Q1"	3.23	14.81%	
Acta Pharmaceutica Sinica B	2211-3835	2211-3843	"PHARMACOLOGY & PHARMACY - SCIE"	"6314"	11.413	"Q4"	2.23	0.00%	
JOURNAL OF INTERNATIONAL BUSINESS STUDIES	0047-2506	1478-6990	"BUSINESS - SSCI; MANAGEMENT - SSCI"	"20422"	11.382	"Q1; Q1"	2.71	14.91%	
Clinical Gastroenterology and Hepatology	1542-3565	1542-7714	"GASTROENTEROLOGY & HEPATOLOGY - SCIE"	"24144"	11.382	"Q1"	1.95	8.96%	
GENES & DEVELOPMENT	0890-9369	1549-5477	"CELL BIOLOGY - SCIE; DEVELOPMENTAL BIOLOGY - SCIE; GENETICS & HEREDITY - SCIE"	"61885"	11.361	"Q1; Q1; Q1"	2.19	98.02%	
IEEE Computational Intelligence Magazine	1556-603X	1556-6048	"COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE"	"2039"	11.356	"Q1"	1.45	0.00%	
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	1359-0286	1879-0348	"PHYSICS	 CONDENSED MATTER - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; PHYSICS	 APPLIED - SCIE"	"4756"	11.354	"Q1; Q1; Q1"	0.61	9.09%	
Earth System Science Data	1866-3508	1866-3516	"METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE; GEOSCIENCES	 MULTIDISCIPLINARY - SCIE"	"5421"	11.333	"Q1; Q1"	2.76	100.00%	
PSYCHOLOGICAL METHODS	1082-989X	1939-1463	"PSYCHOLOGY	 MULTIDISCIPLINARY - SSCI"	"18605"	11.302	"Q1"	4.02	0.00%	
Lancet Child & Adolescent Health	2352-4642	2352-4642	"PEDIATRICS - SCIE"	"3501"	11.288	"Q1"	3.70	14.83%	
PLANT CELL	1040-4651	1532-298X	"PLANT SCIENCES - SCIE; BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE"	"64794"	11.277	"Q1; Q1; Q1"	2.46	10.29%	
WATER RESEARCH	0043-1354	1879-2448	"ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE; ENGINEERING	 ENVIRONMENTAL - SCIE"	"120695"	11.236	"Q1; Q1; Q1"	2.12	8.62%	
AMERICAN JOURNAL OF BIOETHICS	1526-5161	1536-0075	"SOCIAL ISSUES - SSCI; SOCIAL SCIENCES	 BIOMEDICAL - SSCI; ETHICS - SSCI; MEDICAL ETHICS - SCIE"	"3052"	11.229	"Q1; Q1; Q1; Q1"	4.08	8.33%	
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	0027-8424	N/A	"MULTIDISCIPLINARY SCIENCES - SCIE"	"799058"	11.205	"Q1"	2.04	39.11%	
JACC-Cardiovascular Interventions	1936-8798	1876-7605	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"15448"	11.195	"Q1"	2.19	6.58%	
NANO LETTERS	1530-6984	1530-6992	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; PHYSICS	 CONDENSED MATTER - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; CHEMISTRY	 MULTIDISCIPLINARY - SCIE; PHYSICS	 APPLIED - SCIE"	"177909"	11.189	"Q1; Q1; Q1; Q1; Q1; Q1"	2.07	6.67%	
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION	1040-8398	1549-7852	"FOOD SCIENCE & TECHNOLOGY - SCIE; NUTRITION & DIETETICS - SCIE"	"23225"	11.176	"Q1; Q1"	1.42	5.24%	
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH	N/A	1756-9966	"ONCOLOGY - SCIE"	"16717"	11.161	"Q1"	1.94	100.00%	
Cancer Immunology Research	2326-6066	2326-6074	"IMMUNOLOGY - SCIE; ONCOLOGY - SCIE"	"11185"	11.151	"Q1; Q1"	2.30	1.36%	
SPORTS MEDICINE	0112-1642	1179-2035	"SPORT SCIENCES - SCIE"	"23632"	11.136	"Q1"	2.09	27.98%	
SEMINARS IN IMMUNOLOGY	1044-5323	1096-3618	"IMMUNOLOGY - SCIE"	"6814"	11.130	"Q1"	1.03	19.57%	
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	1540-9295	1540-9309	"ENVIRONMENTAL SCIENCES - SCIE; ECOLOGY - SCIE"	"13600"	11.123	"Q1; Q1"	1.86	25.90%	
IEEE CONTROL SYSTEMS MAGAZINE	1066-033X	1941-000X	"AUTOMATION & CONTROL SYSTEMS - SCIE"	"4501"	11.119	"Q1"	1.23	0.00%	
Genome Medicine	1756-994X	1756-994X	"GENETICS & HEREDITY - SCIE"	"8115"	11.117	"Q1"	2.39	100.00%	
ADMINISTRATIVE SCIENCE QUARTERLY	0001-8392	1930-3815	"BUSINESS - SSCI; MANAGEMENT - SSCI"	"25321"	11.113	"Q1; Q1"	2.96	22.45%	
Annual Review of Environment and Resources	1543-5938	N/A	"ENVIRONMENTAL SCIENCES - SCIE; ENVIRONMENTAL STUDIES - SSCI"	"5711"	11.108	"Q1; Q1"	n/a	31.48%	
npj 2D Materials and Applications	N/A	2397-7132	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; PHYSICS	 APPLIED - SCIE"	"1480"	11.106	"Q1; Q1; Q1"	1.62	100.00%	
RADIOLOGY	0033-8419	N/A	"RADIOLOGY	 NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"	"72249"	11.105	"Q1"	2.83	5.97%	
Optica	2334-2536	2334-2536	"OPTICS - SCIE"	"13404"	11.104	"Q1"	3.42	100.00%	
ACTA NUMERICA	0962-4929	1474-0508	"MATHEMATICS - SCIE"	"2429"	11.091	"Q1"	9.33	5.88%	
PLOS MEDICINE	1549-1277	1549-1676	"MEDICINE	 GENERAL & INTERNAL - SCIE"	"42445"	11.069	"Q1"	3.45	100.00%	
Annual Review of Chemical and Biomolecular Engineering	1947-5438	1947-5446	"ENGINEERING	 CHEMICAL - SCIE; CHEMISTRY	 APPLIED - SCIE"	"2373"	11.059	"Q1; Q1"	n/a	0.00%	
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	1092-2172	1098-5557	"MICROBIOLOGY - SCIE"	"15205"	11.056	"Q1"	1.32	3.23%	
PERSOONIA	0031-5850	N/A	"MYCOLOGY - SCIE"	"2491"	11.051	"Q1"	3.31	20.00%	
Blood Cancer Journal	2044-5385	2044-5385	"HEMATOLOGY - SCIE; ONCOLOGY - SCIE"	"4691"	11.037	"Q1; Q1"	1.57	100.00%	
Physics of Life Reviews	1571-0645	1873-1457	"BIOPHYSICS - SCIE; BIOLOGY - SCIE"	"1942"	11.025	"Q1; Q1"	1.57	9.80%	
AMERICAN JOURNAL OF HUMAN GENETICS	0002-9297	1537-6605	"GENETICS & HEREDITY - SCIE"	"43477"	11.025	"Q1"	2.74	17.08%	
JOURNAL OF STRATEGIC INFORMATION SYSTEMS	0963-8687	1873-1198	"INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI; COMPUTER SCIENCE	 INFORMATION SYSTEMS - SCIE; MANAGEMENT - SSCI"	"2945"	11.022	"Q1; Q1; Q1"	2.60	18.46%	
Additive Manufacturing	2214-8604	2214-7810	"ENGINEERING	 MANUFACTURING - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"12332"	10.998	"Q1; Q1"	1.95	12.32%	
Arthritis & Rheumatology	2326-5191	2326-5205	"RHEUMATOLOGY - SCIE"	"16730"	10.995	"Q1"	2.71	21.67%	
Nanoscale Horizons	2055-6756	2055-6764	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"3434"	10.989	"Q1; Q1; Q1"	1.44	9.17%	
Journal of Travel Research	0047-2875	1552-6763	"HOSPITALITY	 LEISURE	 SPORT & TOURISM - SSCI"	"14155"	10.982	"Q1"	2.99	4.93%	
TOURISM MANAGEMENT	0261-5177	1879-3193	"ENVIRONMENTAL STUDIES - SSCI; HOSPITALITY	 LEISURE	 SPORT & TOURISM - SSCI; MANAGEMENT - SSCI"	"37117"	10.967	"Q1; Q1; Q1"	2.96	2.48%	
PROCEEDINGS OF THE IEEE	0018-9219	1558-2256	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE"	"36371"	10.961	"Q1"	3.12	0.00%	
MASS SPECTROMETRY REVIEWS	0277-7037	1098-2787	"SPECTROSCOPY - SCIE"	"4513"	10.946	"Q1"	1.44	13.01%	
NUCLEAR DATA SHEETS	0090-3752	1095-9904	"PHYSICS	 NUCLEAR - SCIE"	"2698"	10.941	"Q1"	3.08	15.09%	
CEMENT AND CONCRETE RESEARCH	0008-8846	1873-3948	"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"51010"	10.933	"Q1; Q1"	2.01	6.00%	
AGEING RESEARCH REVIEWS	1568-1637	1872-9649	"CELL BIOLOGY - SCIE; GERIATRICS & GERONTOLOGY - SCIE"	"10264"	10.895	"Q1; Q1"	1.55	15.51%	
AMERICAN PSYCHOLOGIST	0003-066X	1935-990X	"PSYCHOLOGY	 MULTIDISCIPLINARY - SSCI"	"36450"	10.885	"Q1"	3.53	0.42%	
AMERICAN JOURNAL OF GASTROENTEROLOGY	0002-9270	1572-0241	"GASTROENTEROLOGY & HEPATOLOGY - SCIE"	"37888"	10.864	"Q1"	1.92	4.28%	
GLOBAL CHANGE BIOLOGY	1354-1013	1365-2486	"BIODIVERSITY CONSERVATION - SCIE; ENVIRONMENTAL SCIENCES - SCIE; ECOLOGY - SCIE"	"57192"	10.863	"Q1; Q1; Q1"	2.55	22.08%	
IEEE TRANSACTIONS ON IMAGE PROCESSING	1057-7149	1941-0042	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE; COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE"	"58008"	10.856	"Q1; Q1"	2.31	0.00%	
Cell Discovery	N/A	2056-5968	"CELL BIOLOGY - SCIE"	"3492"	10.849	"Q1"	1.12	100.00%	
CURRENT BIOLOGY	0960-9822	1879-0445	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE; BIOLOGY - SCIE"	"78289"	10.834	"Q1; Q1; Q1"	1.96	28.18%	
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	0091-6749	1097-6825	"IMMUNOLOGY - SCIE; ALLERGY - SCIE"	"63614"	10.793	"Q1; Q1"	2.35	18.04%	
CARDIOVASCULAR RESEARCH	0008-6363	1755-3245	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"26765"	10.787	"Q1"	2.09	22.77%	
SIAM REVIEW	0036-1445	1095-7200	"MATHEMATICS	 APPLIED - SCIE"	"10631"	10.780	"Q1"	6.93	13.16%	
Annual Review of Analytical Chemistry	1936-1327	1936-1335	"CHEMISTRY	 ANALYTICAL - SCIE; SPECTROSCOPY - SCIE"	"2788"	10.745	"Q1; Q1"	n/a	0.00%	
Bioengineering & Translational Medicine	N/A	2380-6761	"ENGINEERING	 BIOMEDICAL - SCIE"	"1105"	10.711	"Q1"	1.75	100.00%	
IEEE NETWORK	0890-8044	1558-156X	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE; COMPUTER SCIENCE	 HARDWARE & ARCHITECTURE - SCIE; COMPUTER SCIENCE	 INFORMATION SYSTEMS - SCIE; TELECOMMUNICATIONS - SCIE"	"6526"	10.693	"Q1; Q1; Q1; Q1"	2.80	0.00%	
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER	0304-419X	1879-2561	"BIOPHYSICS - SCIE; BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; ONCOLOGY - SCIE"	"7025"	10.680	"Q1; Q1; Q1"	1.21	18.94%	
AGE AND AGEING	0002-0729	1468-2834	"GERIATRICS & GERONTOLOGY - SCIE"	"17130"	10.668	"Q1"	2.06	29.03%	
